超级马里奥3D世界	( 1442268 KB)
超级马里奥制造	( 878469 KB)
大金刚国度 热带寒流	( 9698423 KB)
怪物猎人3终极	( 5760360 KB)
猎天使魔女	( 10910660 KB)
猎天使魔女2	( 13495659 KB)
零 濡鸦之巫女	( 11353762 KB)
马里奥赛车8	( 4546414 KB)
蘑菇队长 宝藏追踪者	( 1157682 KB)
塞尔达传说 风之杖HD	( 1447313 KB)
塞尔达传说 黄昏公主HD	( 4446451 KB)
塞尔达传说 旷野之息	( 13393923 KB)
新超级路易吉U	( 1176950 KB)
新超级马里奥U	( 2014865 KB)
新超级马里奥U+新超级路易吉U	( 13498858 KB)
星之卡比 彩虹诅咒	( 2840839 KB)
耀西的毛线世界	( 6267056 KB)
